"date","he","hourlyWind","hourly_dispatch","pool_price","on_peak"
2016-01-01,"01",952.2871,8716.2871,13.67,FALSE
2016-01-01,"02",944.6014,8446.6014,13.23,FALSE
2016-01-01,"03",907.4817,8373.4817,12.53,FALSE
2016-01-01,"04",904.9881,8354.9881,11.07,FALSE
2016-01-01,"05",926.9932,8247.9932,11.07,FALSE
2016-01-01,"06",940.8929,8231.8929,11.07,FALSE
2016-01-01,"07",912.0483,8223.0483,11.06,FALSE
2016-01-01,"08",959.9479,8232.9479,11.24,FALSE
2016-01-01,"09",928.7036,8369.7036,11.99,FALSE
2016-01-01,"10",835.0311,8386.0311,13.01,FALSE
2016-01-01,"11",756.1893,8501.1893,15.03,FALSE
2016-01-01,"12",675.1906,8752.1906,16.88,FALSE
2016-01-01,"13",605.9412,8723.9412,19.13,FALSE
2016-01-01,"14",565.8673,8589.8673,19.36,FALSE
2016-01-01,"15",551.9529,8516.9529,18.64,FALSE
2016-01-01,"16",500.0211,8697.0211,19.03,FALSE
2016-01-01,"17",449.42,8907.42,19.48,FALSE
2016-01-01,"18",520.3459,9088.3459,21.23,FALSE
2016-01-01,"19",546.6873,9051.6873,20.9,FALSE
2016-01-01,"20",508.6447,8924.6447,20.66,FALSE
2016-01-01,"21",460.2179,8795.2179,20.44,FALSE
2016-01-01,"22",406.072,8659.072,19.66,FALSE
2016-01-01,"23",402.4542,8495.4542,18.74,FALSE
2016-01-01,"24",376.9406,8411.9406,14.03,FALSE
2016-01-02,"01",325.4167,8370.4167,19.43,FALSE
2016-01-02,"02",259.4109,8418.4109,19.49,FALSE
2016-01-02,"03",203.9799,8249.9799,18.47,FALSE
2016-01-02,"04",132.6292,8219.6292,19.32,FALSE
2016-01-02,"05",127.212,8353.212,19.6,FALSE
2016-01-02,"06",153.5352,8372.5352,19.63,FALSE
2016-01-02,"07",162.7243,8191.7243,19.5,FALSE
2016-01-02,"08",117.7899,8588.7899,19.41,TRUE
2016-01-02,"09",74.8578,8547.8578,21.08,TRUE
2016-01-02,"10",85.5406,8618.5406,20.52,TRUE
2016-01-02,"11",79.5143,8744.5143,21.38,TRUE
2016-01-02,"12",64.5492,8769.5492,21.68,TRUE
2016-01-02,"13",74.3683,8729.3683,21.5,TRUE
2016-01-02,"14",69.2163,8726.2163,21.65,TRUE
2016-01-02,"15",121.7739,8605.7739,20.52,TRUE
2016-01-02,"16",119.8924,8732.8924,20.64,TRUE
2016-01-02,"17",134.8223,9250.8223,23.29,TRUE
2016-01-02,"18",152.1754,9413.1754,26.17,TRUE
2016-01-02,"19",193.742,9491.742,23.23,TRUE
2016-01-02,"20",244.3621,9236.3621,22.51,TRUE
2016-01-02,"21",268.0322,9105.0322,22.51,TRUE
2016-01-02,"22",308.9632,8872.9632,21.43,TRUE
2016-01-02,"23",358.989,8629.989,19.54,TRUE
2016-01-02,"24",438.7825,8279.7825,19.81,FALSE
2016-01-03,"01",531.4713,8091.4713,15.35,FALSE
2016-01-03,"02",565.7468,8232.7468,16.15,FALSE
2016-01-03,"03",682.4182,8115.4182,14.36,FALSE
2016-01-03,"04",785.7287,8146.7287,12.98,FALSE
2016-01-03,"05",847.9432,8113.9432,11.76,FALSE
2016-01-03,"06",816.9586,8260.9586,12.34,FALSE
2016-01-03,"07",864.3293,8218.3293,12.94,FALSE
2016-01-03,"08",943.8648,8321.8648,12.55,FALSE
2016-01-03,"09",910.126,8393.126,12.96,FALSE
2016-01-03,"10",900.4331,8575.4331,13.68,FALSE
2016-01-03,"11",918.7046,8867.7046,14.42,FALSE
2016-01-03,"12",893.5515,9184.5515,15.43,FALSE
2016-01-03,"13",838.387,9150.387,14.8,FALSE
2016-01-03,"14",852.4056,9104.4056,14.76,FALSE
2016-01-03,"15",891.8561,9211.8561,14.75,FALSE
2016-01-03,"16",915.7225,9665.7225,15.01,FALSE
2016-01-03,"17",893.3491,9874.3491,16.32,FALSE
2016-01-03,"18",865.7973,9948.7973,23.53,FALSE
2016-01-03,"19",834.9038,9926.9038,21.39,FALSE
2016-01-03,"20",831.1382,9801.1382,19.13,FALSE
2016-01-03,"21",842.8056,9529.8056,15.29,FALSE
2016-01-03,"22",870.6799,9203.6799,14.8,FALSE
2016-01-03,"23",866.2144,9110.2144,14.61,FALSE
2016-01-03,"24",778.744,8751.744,17.93,FALSE
2016-01-04,"01",771.2216,8927.2216,14.41,FALSE
2016-01-04,"02",598.2558,8812.2558,14.76,FALSE
2016-01-04,"03",426.9463,8810.9463,14.86,FALSE
2016-01-04,"04",400.3646,8705.3646,19.19,FALSE
2016-01-04,"05",482.099,8707.099,19.43,FALSE
2016-01-04,"06",520.1133,8727.1133,18.63,FALSE
2016-01-04,"07",597.3882,9011.3882,18.7,FALSE
2016-01-04,"08",683.6365,9327.6365,19.22,TRUE
2016-01-04,"09",666.9724,9472.9724,19.69,TRUE
2016-01-04,"10",573.3253,9549.3253,18.89,TRUE
2016-01-04,"11",474.3497,9685.3497,20.3,TRUE
2016-01-04,"12",342.0059,9563.0059,21.77,TRUE
2016-01-04,"13",289.4102,9468.4102,21.27,TRUE
2016-01-04,"14",221.7313,9460.7313,20.98,TRUE
2016-01-04,"15",249.3777,9481.3777,21.13,TRUE
2016-01-04,"16",255.0579,9432.0579,20.92,TRUE
2016-01-04,"17",325.7767,9946.7767,25.53,TRUE
2016-01-04,"18",258.8254,9910.8254,35.62,TRUE
2016-01-04,"19",202.9432,9566.9432,34,TRUE
2016-01-04,"20",144.4321,9580.4321,22.51,TRUE
2016-01-04,"21",136.265,9494.265,21.37,TRUE
2016-01-04,"22",115.3587,9198.3587,20.41,TRUE
2016-01-04,"23",80.8979,8630.8979,19.48,TRUE
2016-01-04,"24",42.1692,8367.1692,14.66,FALSE
2016-01-05,"01",9.9465,8216.9465,18.98,FALSE
2016-01-05,"02",12.7567,8166.7567,18.59,FALSE
2016-01-05,"03",10.7199,8206.7199,18.61,FALSE
2016-01-05,"04",16.2344,8178.2344,15.5,FALSE
2016-01-05,"05",16.6711,8285.6711,15.58,FALSE
2016-01-05,"06",24.6685,8548.6685,16.75,FALSE
2016-01-05,"07",44.4023,9241.4023,20.45,FALSE
2016-01-05,"08",37.3636,9726.3636,26.76,TRUE
2016-01-05,"09",29.5517,9777.5517,25.24,TRUE
2016-01-05,"10",20.3788,9679.3788,26.93,TRUE
2016-01-05,"11",22.4554,9580.4554,26.5,TRUE
2016-01-05,"12",31.5783,9670.5783,27.5,TRUE
2016-01-05,"13",38.3868,9726.3868,29.48,TRUE
2016-01-05,"14",43.2083,9607.2083,25.67,TRUE
2016-01-05,"15",49.3688,9624.3688,23.34,TRUE
2016-01-05,"16",94.2916,9654.2916,23.22,TRUE
2016-01-05,"17",189.6166,9858.6166,22.71,TRUE
2016-01-05,"18",224.3724,9993.3724,48.03,TRUE
2016-01-05,"19",243.0628,9934.0628,44.19,TRUE
2016-01-05,"20",327.8789,9606.8789,33.04,TRUE
2016-01-05,"21",322.8334,9545.8334,21.84,TRUE
2016-01-05,"22",252.6129,9239.6129,19.23,TRUE
2016-01-05,"23",133.1216,8852.1216,16.78,TRUE
2016-01-05,"24",90.4405,8566.4405,19.31,FALSE
2016-01-06,"01",87.1059,8396.1059,15.16,FALSE
2016-01-06,"02",56.1522,8346.1522,15.02,FALSE
2016-01-06,"03",32.9539,8332.9539,15.02,FALSE
2016-01-06,"04",35.5252,8385.5252,16.89,FALSE
2016-01-06,"05",52.7553,8481.7553,16.52,FALSE
2016-01-06,"06",59.9549,8731.9549,17.76,FALSE
2016-01-06,"07",73.4109,9428.4109,20.28,FALSE
2016-01-06,"08",46.1733,9499.1733,73.28,TRUE
2016-01-06,"09",37.8473,9625.8473,31.8,TRUE
2016-01-06,"10",31.5962,9928.5962,20.4,TRUE
2016-01-06,"11",29.7128,9607.7128,22.8,TRUE
2016-01-06,"12",55.5504,9641.5504,20.23,TRUE
2016-01-06,"13",53.5849,9549.5849,19.73,TRUE
2016-01-06,"14",40.9393,9642.9393,22.04,TRUE
2016-01-06,"15",51.9596,9583.9596,19.61,TRUE
2016-01-06,"16",69.8522,9566.8522,22.2,TRUE
2016-01-06,"17",112.077,9719.077,34.97,TRUE
2016-01-06,"18",124.4409,9616.4409,79.37,TRUE
2016-01-06,"19",127.3122,9645.3122,30.6,TRUE
2016-01-06,"20",113.5272,9963.5272,22.19,TRUE
2016-01-06,"21",108.0714,9606.0714,19.64,TRUE
2016-01-06,"22",137.6856,9440.6856,22.37,TRUE
2016-01-06,"23",175.3071,8894.3071,19.44,TRUE
2016-01-06,"24",191.9492,8469.9492,15.82,FALSE
2016-01-07,"01",226.5723,8430.5723,15.97,FALSE
2016-01-07,"02",198.8168,8381.8168,16,FALSE
2016-01-07,"03",174.8165,8346.8165,19.62,FALSE
2016-01-07,"04",201.5623,8255.5623,19.09,FALSE
2016-01-07,"05",215.8363,8325.8363,18.24,FALSE
2016-01-07,"06",270.9097,8655.9097,19.47,FALSE
2016-01-07,"07",304.74,8956.74,19.33,FALSE
2016-01-07,"08",325.893,9706.893,17.83,TRUE
2016-01-07,"09",351.522,9783.522,19.43,TRUE
2016-01-07,"10",344.1683,9636.1683,19.36,TRUE
2016-01-07,"11",324.5832,9608.5832,19.42,TRUE
2016-01-07,"12",303.3375,9579.3375,19.47,TRUE
2016-01-07,"13",268.3271,9519.3271,19.46,TRUE
2016-01-07,"14",281.2969,9670.2969,19.35,TRUE
2016-01-07,"15",274.9188,9758.9188,19.37,TRUE
2016-01-07,"16",219.1154,9637.1154,19.52,TRUE
2016-01-07,"17",167.8449,9832.8449,19.51,TRUE
2016-01-07,"18",126.5067,10264.5067,19.5,TRUE
2016-01-07,"19",80.0543,9892.0543,19.46,TRUE
2016-01-07,"20",29.6989,9770.6989,19.35,TRUE
2016-01-07,"21",18.6375,9734.6375,19.26,TRUE
2016-01-07,"22",12.3971,9331.3971,19.39,TRUE
2016-01-07,"23",3.6112,8993.6112,18.4,TRUE
2016-01-07,"24",3.1717,8632.1717,18.09,FALSE
2016-01-08,"01",1.1048,8383.1048,20.11,FALSE
2016-01-08,"02",0.5584,8307.5584,17.77,FALSE
2016-01-08,"03",1.2773,8294.2773,16.1,FALSE
2016-01-08,"04",3.9742,8304.9742,16.67,FALSE
2016-01-08,"05",4.1443,8389.1443,18.09,FALSE
2016-01-08,"06",8.7373,8509.7373,19.52,FALSE
2016-01-08,"07",4.2873,9071.2873,22.84,FALSE
2016-01-08,"08",1.9399,9515.9399,28.37,TRUE
2016-01-08,"09",1.2654,9530.2654,474.76,TRUE
2016-01-08,"10",2.0796,9460.0796,60.4,TRUE
2016-01-08,"11",1.0353,9596.0353,36.64,TRUE
2016-01-08,"12",1.1032,9697.1032,27.23,TRUE
2016-01-08,"13",0.8186,9693.8186,20.93,TRUE
2016-01-08,"14",0.5434,9718.5434,19.67,TRUE
2016-01-08,"15",1.2365,9632.2365,19.45,TRUE
2016-01-08,"16",0.3245,9511.3245,19.16,TRUE
2016-01-08,"17",0.1,10113.1,17.89,TRUE
2016-01-08,"18",0,10086,18.7,TRUE
2016-01-08,"19",0,9887,19.19,TRUE
2016-01-08,"20",0,9776,19.04,TRUE
2016-01-08,"21",0.5155,9744.5155,19.24,TRUE
2016-01-08,"22",0.278,9557.278,19.69,TRUE
2016-01-08,"23",0.4832,9207.4832,22.47,TRUE
2016-01-08,"24",2.5362,8882.5362,22.14,FALSE
2016-01-09,"01",1.8875,8738.8875,24.95,FALSE
2016-01-09,"02",3.5945,8507.5945,23.25,FALSE
2016-01-09,"03",5.7934,8402.7934,23.25,FALSE
2016-01-09,"04",10.6265,8391.6265,23.25,FALSE
2016-01-09,"05",24.4032,8434.4032,23.1,FALSE
2016-01-09,"06",56.1301,8465.1301,24.87,FALSE
2016-01-09,"07",85.5675,8786.5675,26.64,FALSE
2016-01-09,"08",137.234,9094.234,21.53,TRUE
2016-01-09,"09",136.0876,9176.0876,34.48,TRUE
2016-01-09,"10",125.9613,9216.9613,34.48,TRUE
2016-01-09,"11",166.2547,9301.2547,34.48,TRUE
2016-01-09,"12",203.7104,9418.7104,19.96,TRUE
2016-01-09,"13",224.1625,9306.1625,19.47,TRUE
2016-01-09,"14",248.9781,9240.9781,19.47,TRUE
2016-01-09,"15",355.609,9106.609,19.08,TRUE
2016-01-09,"16",479.0411,9230.0411,18.46,TRUE
2016-01-09,"17",554.6355,9886.6355,19.84,TRUE
2016-01-09,"18",607.5672,9834.5672,34.17,TRUE
2016-01-09,"19",647.431,9683.431,33.54,TRUE
2016-01-09,"20",709.1705,9581.1705,28.55,TRUE
2016-01-09,"21",743.4575,9406.4575,20.13,TRUE
2016-01-09,"22",785.9273,9422.9273,18.43,TRUE
2016-01-09,"23",819.3906,9040.3906,17.61,TRUE
2016-01-09,"24",847.7289,8873.7289,24.28,FALSE
2016-01-10,"01",851.1385,8714.1385,18.6,FALSE
2016-01-10,"02",875.4461,8656.4461,17.87,FALSE
2016-01-10,"03",890.4496,8554.4496,16.75,FALSE
2016-01-10,"04",898.5146,8512.5146,16.73,FALSE
2016-01-10,"05",1004.7961,8492.7961,13.38,FALSE
2016-01-10,"06",1008.3544,8509.3544,14.97,FALSE
2016-01-10,"07",1085.5241,8574.5241,13.41,FALSE
2016-01-10,"08",1226.2073,8755.2073,13.08,FALSE
2016-01-10,"09",1235.9256,8936.9256,13.48,FALSE
2016-01-10,"10",1149.0765,9100.0765,16.77,FALSE
2016-01-10,"11",1116.5851,9397.5851,17.16,FALSE
2016-01-10,"12",1120.8326,9345.8326,17.28,FALSE
2016-01-10,"13",1076.1703,9401.1703,17.35,FALSE
2016-01-10,"14",1047.8676,9275.8676,17.3,FALSE
2016-01-10,"15",1105.971,9290.971,17.24,FALSE
2016-01-10,"16",1074.8729,9464.8729,17.36,FALSE
2016-01-10,"17",1057.2489,9782.2489,18.11,FALSE
2016-01-10,"18",1071.2517,10027.2517,19.39,FALSE
2016-01-10,"19",1089.6174,9881.6174,19,FALSE
2016-01-10,"20",1038.0218,9779.0218,18.81,FALSE
2016-01-10,"21",1009.3897,9563.3897,18.09,FALSE
2016-01-10,"22",980.4033,9126.4033,17.43,FALSE
2016-01-10,"23",984.2011,8968.2011,15.14,FALSE
2016-01-10,"24",967.535,8713.535,19.95,FALSE
2016-01-11,"01",986.1408,8466.1408,13.02,FALSE
2016-01-11,"02",1045.4493,8455.4493,12.95,FALSE
2016-01-11,"03",997.1471,8475.1471,12.97,FALSE
2016-01-11,"04",1045.833,8518.833,12.98,FALSE
2016-01-11,"05",1003.0759,8661.0759,12.98,FALSE
2016-01-11,"06",980.7292,8695.7292,13,FALSE
2016-01-11,"07",971.8791,9278.8791,16.4,FALSE
2016-01-11,"08",879.2055,9532.2055,17.5,TRUE
2016-01-11,"09",826.8956,9966.8956,17.63,TRUE
2016-01-11,"10",630.7371,9679.7371,19.24,TRUE
2016-01-11,"11",496.9695,9806.9695,18.5,TRUE
2016-01-11,"12",336.4022,9736.4022,19.51,TRUE
2016-01-11,"13",389.5685,9706.5685,19.52,TRUE
2016-01-11,"14",457.347,9664.347,18.74,TRUE
2016-01-11,"15",555.7861,9544.7861,17.77,TRUE
2016-01-11,"16",585.6134,9605.6134,17.59,TRUE
2016-01-11,"17",624.0326,9968.0326,17.76,TRUE
2016-01-11,"18",650.1858,10080.1858,18.7,TRUE
2016-01-11,"19",691.2616,10029.2616,18.33,TRUE
2016-01-11,"20",764.0616,9954.0616,18.36,TRUE
2016-01-11,"21",735.3066,9738.3066,18.62,TRUE
2016-01-11,"22",706.131,9275.131,18.27,TRUE
2016-01-11,"23",701.3086,8923.3086,17.52,TRUE
2016-01-11,"24",730.3155,8815.3155,13.19,FALSE
2016-01-12,"01",791.5204,8557.5204,18.58,FALSE
2016-01-12,"02",928.4178,8692.4178,17.28,FALSE
2016-01-12,"03",994.6821,8647.6821,16.71,FALSE
2016-01-12,"04",1068.624,8600.624,13.71,FALSE
2016-01-12,"05",1041.6221,8877.6221,14.83,FALSE
2016-01-12,"06",935.4761,8804.4761,19.92,FALSE
2016-01-12,"07",1014.899,9053.899,22.45,FALSE
2016-01-12,"08",1082.2486,9660.2486,18.73,TRUE
2016-01-12,"09",1069.7553,9727.7553,33.77,TRUE
2016-01-12,"10",1117.497,9579.497,21.05,TRUE
2016-01-12,"11",1180.8989,9525.8989,18.27,TRUE
2016-01-12,"12",1173.4598,9395.4598,17.77,TRUE
2016-01-12,"13",1184.0377,9323.0377,17.77,TRUE
2016-01-12,"14",1164.3324,9375.3324,18.62,TRUE
