Province,Year,Vestas,GE,Enercon,Siemens,Senvion,Other
AB,1995,0,0,0,0,0,0
AB,1996,0,0,0,0,0,0
AB,1997,0,0,0,0,0,0
AB,1998,0,0,0,0,0,0
AB,1999,0,0,0,0,0,0
AB,2000,0,0,0,0,0,0
AB,2001,39.54,0,0.6,0,0,26
AB,2002,43.32,0,0.6,0,0,26
AB,2003,119.22,0,0.6,0,0,26
AB,2004,122.22,30,0.6,0,0,26.9
AB,2005,122.22,30,0.6,0,0,26.9
AB,2006,122.22,130.5,0.6,0,0,26.9
AB,2007,185.22,130.5,86.07,0,0,26.9
AB,2008,185.22,130.5,86.07,0,0,26.9
AB,2009,251.22,130.5,86.07,0,0,26.9
AB,2010,456.42,212.1,86.07,0,0,26.9
AB,2011,456.42,300.1,86.07,0,0,26.9
AB,2012,605.82,300.1,162.3,0,0,26.9
AB,2013,605.82,300.1,162.3,0,0,26.9
AB,2014,954.22,300.1,162.3,0,0,32.9
AB,2015,954.22,329,162.3,0,0,32.9
AB,2016,954.22,329,162.3,0,0,32.9
AB,2017,954.22,329,162.3,0,0,32.9
AB,2018,954.22,329,162.3,0,0,32.9
AB,2019,1254.22,329,162.3,0,0,32.9
BC,1995,0,0,0,0,0,0
BC,1996,0,0,0,0,0,0
BC,1997,0,0,0,0,0,0
BC,1998,0,0,0,0,0,0
BC,1999,0,0,0,0,0,0
BC,2000,0,0,0,0,0,0
BC,2001,0,0,0,0,0,0
BC,2002,0,0,0,0,0,0
BC,2003,0,0,0,0,0,0
BC,2004,0,0,0,0,0,0
BC,2005,0,0,0,0,0,0
BC,2006,0,0,0,0,0,0
BC,2007,0,0,0,0,0,0
BC,2008,0,0,0,0,0,0
BC,2009,0,0,102,0,0,0
BC,2010,0,0,102,0,0,1.5
BC,2011,144,0,102,0,0,1.5
BC,2012,286.2,0,102,0,0,1.5
BC,2013,385.2,0,102,0,0,1.5
BC,2014,385.2,0,102,0,0,1.5
BC,2015,385.2,0,102,0,0,1.5
BC,2016,385.2,0,102,0,0,1.5
BC,2017,385.2,179,102,0,30,1.5
BC,2018,385.2,179,102,0,30,1.5
BC,2019,385.2,179,117,0,30,1.5
MB,1995,0,0,0,0,0,0
MB,1996,0,0,0,0,0,0
MB,1997,0,0,0,0,0,0
MB,1998,0,0,0,0,0,0
MB,1999,0,0,0,0,0,0
MB,2000,0,0,0,0,0,0
MB,2001,0,0,0,0,0,0
MB,2002,0,0,0,0,0,0
MB,2003,0,0,0,0,0,0
MB,2004,0,0,0,0,0,0
MB,2005,0,0,0,0,0,0
MB,2006,0,0,0,0,0,0
MB,2007,0,0,0,0,0,0
MB,2008,0,0,0,0,0,0
MB,2009,0,0,0,0,0,0
MB,2010,0,0,0,0,0,0
MB,2011,0,0,0,138,0,0
MB,2012,120.45,0,0,138,0,0
