Province,Year,Capacity,Area
ON,2014,59.94,65.382
NS,2012,31.5,9.953
NS,2016,6,3.608
ON,2018,86.4,46.736
QC,2007,100.5,43.789
AB,2010,69,24.522
ON,2015,180,135.868
ON,2010,10,3.125
NS,2015,4.6,3.768
NS,2016,1.6,2.736
NS,2016,1.7,3.217
QC,2006,109.5,59.326
NS,2015,4.6,3.752
NS,2015,3.2,3.126
NS,2015,2.35,2.727
BC,2009,102,12.409
ON,2017,100,81.506
NS,2015,1.99,3.292
AB,2014,298.8,211.59
AB,2009,66,21.888
ON,2014,59.2,72.155
ON,2014,72.9,58.604
ON,2015,58.32,43.826
AB,2014,6,4.762
NS,2016,1.99,3.284
NS,2005,0.6,0.747
AB,2015,29.2,27.296
BC,2014,99,36.88
QC,2008,109.5,45.112
AB,2001,44,8.634
AB,2012,52.9,13.003
ON,2013,0.8,0.753
ON,2015,99.96,102.06
SK,2006,149.4,49.968
ON,2011,101.2,142.382
NS,2014,10,7.451
NS,2017,7.05,4.025
AB,2006,30,9.697
ON,2008,9.9,16.618
ON,2011,165.6,178.362
ON,2012,22.92,10.754
QC,2013,23.5,10.236
SK,2013,0.8,0.87
AB,2001,19.5,2.985
NS,2013,2,2.172
ON,2008,8.25,4.357
SK,2003,10.56,15.886
NS,2009,51,23.188
QC,2013,100,89.19
QC,2013,135.7,64.919
QC,2014,21.15,16.5
NS,2006,0.8,0.752
NS,2010,30,8.193
BC,2011,144,32.536
ON,2014,91.39,60.468
ON,2015,22.4,39.591
ON,2013,99,108.56
NS,2017,16.1,10.476
ON,2006,99,65.579
ON,2013,99,106.328
ON,2014,10,6.981
ON,2003,0.75,0.891
NS,2012,4.6,2.767
ON,2006,5.1,3.851
NS,2015,1.4,2.2
NS,2006,1.6,0.971
QC,2015,24,7.963
NS,2014,4.6,2.759
ON,2016,17.6,6.831
NS,2017,7.05,4.211
ON,2013,10,8.172
AB,2010,86.4,105.458
NS,2005,1.6,7.956
NS,2011,62.1,18.436
NS,2005,0.6,0.752
ON,2010,50.6,44.278
ON,2015,102.36,196.036
ON,2015,25.3,13.869
ON,2016,99.2,57.526
ON,2014,148.62,161.559
