Year,PowerDensity,CapacityDensity,TurbineDensity,Province
2014,488.9276175,0.916766082,0.565904989,ON
2012,500.5374607,3.164874912,1.507083291,NS
2016,425.9863213,1.662971175,0.554323725,NS
2018,404.7753381,1.848681958,0.577713112,ON
2007,605.3321162,2.295096942,1.530064628,QC
2010,531.0145539,2.813799853,0.937933284,AB
2015,609.617769,1.324815262,0.721288309,ON
2010,524.2763307,3.2,1.6,ON
2015,510.5415582,1.220806794,0.530785563,NS
2016,449.7103329,0.584795322,0.365497076,NS
2016,426.0661097,0.528442648,0.310848617,NS
2006,492.4235744,1.845733742,1.230489162,QC
2015,565.314171,1.226012793,0.533049041,NS
2015,527.7026206,1.023672425,0.639795266,NS
2015,866.9103791,0.861752842,0.366703337,NS
2009,182.8465698,8.219840438,2.739946813,BC
2017,525.9177912,1.226903541,0.601182735,ON
2015,595.9011098,0.604495747,0.303766707,NS
2014,524.1143502,1.412165036,0.784536131,AB
2009,528.2020517,3.015350877,1.005116959,AB
2014,520.9449769,0.820455963,0.512784977,ON
2014,482.5710266,1.243942393,0.767865675,ON
2015,353.2301632,1.330716926,0.821430201,ON
2014,394.3687993,1.259974801,0.6299874,AB
2016,338.4388023,0.605968331,0.304506699,NS
2005,167.4901681,0.803212851,1.338688086,NS
2015,467.7809315,1.06975381,0.622801876,AB
2014,453.6535094,2.684381779,1.49132321,BC
2008,509.4862858,2.427292073,1.618194715,QC
2001,271.3926053,5.096131573,6.949270327,AB
2012,302.6280459,4.068291933,2.537875875,AB
2013,484.7498716,1.062416999,1.328021248,ON
2015,610.3520371,0.979423868,0.450715266,ON
2006,651.9161628,2.989913545,1.66106308,SK
2011,502.9876763,0.710764001,0.309027827,ON
2014,397.3705099,1.342101731,0.671050866,NS
2017,477.5332367,1.751552795,0.745341615,NS
2006,462.9405793,3.093740332,2.062493555,AB
2008,673.0103279,0.59573956,1.083162835,ON
2011,492.7608698,0.928448885,0.403673428,ON
2012,525.7181932,2.131299981,0.929886554,ON
2013,563.8648285,2.295818679,0.976944119,QC
2013,365.7149298,0.91954023,1.149425287,SK
2001,209.4498172,6.532663317,5.025125628,AB
2013,682.8028877,0.920810313,0.460405157,NS
2008,571.5181177,1.893504705,1.147578609,ON
2003,521.2315806,0.664736246,1.00717613,SK
2009,521.8247489,2.19941349,1.46627566,NS
2013,361.4517515,1.121201928,0.560600964,QC
2013,395.6754726,2.09029714,0.908824843,QC
2014,334.9498146,1.281818182,0.545454545,QC
2006,374.841272,1.063829787,1.329787234,NS
2010,572.1192803,3.661662395,2.441108263,NS
2011,178.3592345,4.425866732,1.475288911,BC
2014,445.7663277,1.511377919,0.810345968,ON
2015,433.6942087,0.565785153,0.353615721,ON
2013,509.4990789,0.911938099,0.506632277,ON
2017,375.3712671,1.536846124,0.95456281,NS
2006,610.3230742,1.509629607,1.006419738,ON
2013,576.5224421,0.931081183,0.517267324,ON
2014,313.1096475,1.432459533,0.716229767,ON
2003,269.667541,0.841750842,1.122334456,ON
2012,526.050979,1.662450307,0.722804481,NS
2006,456.1221462,1.324331343,0.779018437,ON
2015,325.6984953,0.636363636,0.454545455,NS
2006,325.6984953,1.647785788,2.059732235,NS
2015,372.130097,3.01393947,1.506969735,QC
2014,451.8724019,1.66727075,0.362450163,NS
2016,239.3033432,2.576489533,1.317523057,ON
2017,654.8239944,1.674186654,0.712419853,NS
2013,578.3195946,1.223690651,0.611845326,ON
2010,402.6407448,0.819283506,0.483604847,AB
2005,569.0516386,0.201106083,0.251382604,NS
2011,508.782246,3.368409633,1.464525928,NS
2005,288.9974034,0.79787234,1.329787234,NS
2010,479.8994092,1.14277971,0.496860743,ON
2015,487.9027728,0.522148993,0.321369544,ON
2015,440.523426,1.824212272,0.79313577,ON
2016,624.0825169,1.724437646,0.69533776,ON
2014,600.2009137,0.919911611,0.414709177,ON
2015,546.6626728,0.666510784,0.278362339,ON
2015,329.2447353,1.210745365,0.756715853,NS
2011,331.1583262,1.33380086,0.579913418,ON
2016,439.2073485,0.970822838,0.472292191,ON
2016,458.3453393,1.457938475,0.728969237,ON
2012,680.4188375,2.490227476,1.660151651,QC
2010,90.72294593,0.807754443,0.538502962,BC
2016,582.8459164,1.016600876,0.540745147,ON
2014,386.4953603,0.737704918,0.409836066,ON
2012,514.3817011,1.229407021,0.683003901,AB
2016,306.659715,0.908677874,0.454338937,NS
2010,522.8276217,1.48004186,0.896995067,ON
2006,459.3397782,0.677200903,0.564334086,NS
2015,655.1671299,1.369863014,0.582920431,NS
2002,508.7371732,2.277904328,1.265502404,ON
2013,367.4345813,0.919117647,0.459558824,NS
2015,673.2987688,0.615337044,0.309214595,NS
2009,495.6261345,1.725073655,1.098361503,QC
2014,508.8556294,0.865424815,0.534212849,ON
2014,344.3178277,0.912408759,0.45620438,NS
2015,312.7219749,1.498216409,0.891795482,NS
2011,468.1015299,1.26486213,0.505944852,ON
2016,422.4238584,1.32032147,0.861079219,NS
2007,350.1458617,4.629289441,2.571827467,AB
2015,619.0672744,1.300734604,0.679256675,ON
2014,513.009505,2.169886213,1.05848108,QC
2013,708.3360269,2.232325562,1.116162781,QC
2014,420.5467119,2.389277389,1.165501166,QC
1999,476.4187658,2.626405357,3.50187381,QC
1999,362.6870721,4.955947137,6.607929515,QC
2014,280.013631,2.023996554,0.874214474,QC
2015,379.2411607,1.331220285,0.792393027,NS
2012,864.1384254,4.000869754,1.739508589,NS
2002,283.4542582,0.795755968,1.326259947,NS
2014,567.4674084,0.604495747,0.303766707,NS
2017,404.0407482,1.177072671,0.511770727,NS
2001,184.3180479,1.2,2,AB
2004,456.8014393,1.185302252,0.395100751,AB
2004,435.5621783,2.987452699,1.991635132,AB
2006,458.2179643,1.075268817,1.344086022,NS
2015,401.1621328,1.178087571,0.589043786,NS
2010,570.6971249,1.857585139,1.238390093,NS
2013,526.4512178,2.527167046,1.263583523,QC
2003,306.8565572,3.701355701,5.608114698,AB
2014,516.6492044,1.219115735,0.487646294,ON
2017,550.0479551,5.687956784,1.938353988,BC
2008,376.5247107,1.759367862,1.172911908,ON
2016,480.1585143,1.125370411,0.354388002,QC
2014,386.0691343,1.147446931,0.573723465,NS
2008,619.1250544,1.382102471,0.837637861,ON
2005,497.8321042,2.753872633,1.475288911,QC
2011,495.7201968,2.126354096,1.417569397,QC
2005,547.0321978,2.461033634,1.367240908,QC
2018,480.7259452,1.221898471,0.39305825,QC
2011,509.1977602,2.641560553,1.761040368,QC
2012,453.5089774,1.187598282,0.516347079,QC
2015,488.827296,2.265213665,1.132606832,QC
2017,442.5160682,0.688705234,1.377410468,ON
2019,310.8627898,1.54146542,0.411057445,BC
2015,530.2215578,1.37149672,0.596302922,SK
2012,337.0419426,1.203369434,0.601684717,ON
2014,633.2470143,0.858918129,0.365497076,NS
2015,545.8825235,0.779912498,0.380445121,ON
2015,258.2671621,1.347368421,0.842105263,NS
2012,339.3311675,2.340917723,1.139384732,QC
2016,358.8707949,0.731284676,0.244821392,ON
