Year,Rating,Diameter,Height
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2014,1620,100,80
2016,3000,92,98
2016,3000,92,98
2012,2100,97,90
2012,2100,97,90
2012,2100,97,90
2012,2100,97,90
2012,2100,97,90
2012,2100,97,90
2012,2100,97,90
2012,2100,97,90
2012,2100,97,90
2012,2100,97,90
2012,2100,97,90
2012,2100,97,90
2012,2100,97,90
2012,2100,97,90
2012,2100,97,90
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2018,3200,113,99.5
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
2007,1500,77,80
